Speaker,gloss1,total_freq
Anais,famille,1
Anais,faon,2
Anais,farine,1
Anais,fasse,15
Anais,Fat,1
Anais,fatigué,2
Anais,fatiguée,6
Anais,fatigues,4
Anais,fatigués,1
Anais,faudra,2
Anais,faudrait,5
Anais,fausse,1
Anais,faut,222
Anais,fauteuil,4
Anais,favori,1
Anais,fée,3
Anais,féminine,1
Anais,fenêtre,1
Anais,fer+à+repasser,1
Anais,fera,6
Anais,ferai,1
Anais,ferait,1
Anais,feras,1
Anais,ferme,36
Anais,fermé,8
Anais,fermée,1
Anais,fermer,13
Anais,fermes,7
Anais,fermés,2
Anais,fermier,11
Anais,fermière,1
Anais,fers,1
Anais,fesses,11
Anais,feuille,12
Anais,feuilles,5
Anais,feutre,1
Anais,feutres,2
Anais,fff@o,2
Anais,ficelle,4
Anais,fifille,1
Anais,figure,1
Anais,fil,12
Anais,fille,56
Anais,filles,4
Anais,fils,1
Anais,filtre,2
Anais,fin,3
Anais,finalement,5
Anais,fini,66
Anais,finir,1
Anais,finiras,1
Anais,finis,9
Anais,finisse,1
Anais,finit,3
Anais,fins,1
Anais,fit,1
Anais,fixe,2
Anais,flacon,1
Anais,flèche,2
Anais,flegme,1
Anais,fleur,6
Anais,fleurs,12
Anais,fluos,1
Anais,fois,14
Anais,fois+ci,2
Anais,folle,1
Anais,fond,4
Anais,fondre,1
Anais,font,15
Anais,forcément,3
Anais,forme,2
Anais,formes,3
Anais,fort,6
Anais,fou,1
Anais,four,5
Anais,fourchette,20
Anais,fourchettes,4
Anais,fourmi,1
Anais,fourré,2
Anais,fourrée,1
Anais,fourrés,1
Anais,frais,1
Anais,fraise,1
Anais,fraises,1
Anais,framboise,1
Anais,framboises,1
Anais,franc,1
Anais,français,2
Anais,frère,1
Anais,frigo,4
Anais,fripouille,12
Anais,fripouillette,1
Anais,froid,17
Anais,fromage,2
Anais,front,2
Anais,frotte,2
Anais,frouik_frouik_frouik_frouik@o,1
Anais,fusée,2
Anais,gaffe,1
Anais,gagné,1
Anais,galop,2
Anais,gant,3
Anais,garçon,10
Anais,garçons,1
Anais,garde,17
Anais,gardé,2
Anais,garde+manger,1
Anais,garder,2
Anais,gardes,7
Anais,Gaston,6
Anais,gâteau,12
Anais,gâteaux,4
Anais,gauche,1
Anais,gaucher,1
Anais,gaz,2
Anais,Gégette,1
Anais,gèle,1
Anais,gène,5
Anais,gêne,3
Anais,géner,1
